Record_ID,Client_ID,Timestamp,Device_Type,Battery_Level,Signal_Strength_dBm,Latency_ms,Data_Volume_MB,Local_Model_Accuracy,Privacy_Budget_Used,User_Heart_Rate,Location_X,Location_Y
REC_00000,Client_010,2025-01-01 00:00:00,AutonomousVehicle,27.62,-69.1,3.274,23.93,0.8175,4.9,62,0.1095,0.2137
REC_00001,Client_064,2025-01-01 00:01:00,IndustrialController,21.76,-56.5,6.173,40.64,0.9403,1.88,69,0.6285,0.9606
REC_00002,Client_041,2025-01-01 00:02:00,SmartSensor,94.06,-54.8,2.037,6.42,0.8151,4.8,63,0.7839,0.927
REC_00003,Client_081,2025-01-01 00:03:00,AutonomousVehicle,22.98,-54.0,2.712,14.5,0.734,4.78,86,0.081,0.3456
REC_00004,Client_027,2025-01-01 00:04:00,AutonomousVehicle,28.4,-74.9,0.993,26.94,0.9279,0.8,80,0.2213,0.6606
REC_00005,Client_016,2025-01-01 00:05:00,IndustrialController,32.16,-60.0,2.785,53.38,0.8238,4.16,83,0.3211,0.4967
REC_00006,Client_037,2025-01-01 00:06:00,SmartSensor,93.97,-70.3,1.037,16.44,0.7861,2.63,75,0.9368,0.5845
REC_00007,Client_090,2025-01-01 00:07:00,SmartSensor,78.01,-56.0,16.012,150.55,0.7244,3.46,49,0.598,0.1728
REC_00008,Client_070,2025-01-01 00:08:00,AutonomousVehicle,81.07,-55.2,4.683,12.44,0.8146,3.9,66,0.1073,0.7486
REC_00009,Client_046,2025-01-01 00:09:00,Wearable,19.43,-71.7,3.956,75.46,0.8924,0.71,72,0.3697,0.5103
REC_00010,Client_052,2025-01-01 00:10:00,AutonomousVehicle,85.27,-50.3,1.938,22.67,0.8793,4.01,59,0.7152,0.1042
REC_00011,Client_009,2025-01-01 00:11:00,AutonomousVehicle,46.74,-36.6,1.79,89.61,0.8241,1.58,49,0.9782,0.7993
REC_00012,Client_098,2025-01-01 00:12:00,AutonomousVehicle,33.65,-51.7,2.41,128.27,0.8799,3.69,86,0.7384,0.9018
REC_00013,Client_068,2025-01-01 00:13:00,AutonomousVehicle,61.82,-61.6,4.331,10.35,0.7877,2.91,65,0.1812,0.0062
REC_00014,Client_030,2025-01-01 00:14:00,IndustrialController,84.0,-63.2,1.365,33.81,0.8838,3.45,81,0.8192,0.8069
REC_00015,Client_050,2025-01-01 00:15:00,SmartSensor,80.08,-62.1,1.012,8.38,0.7214,3.15,91,0.0033,0.5674
REC_00016,Client_011,2025-01-01 00:16:00,IndustrialController,90.1,-67.6,0.156,61.18,0.7498,4.07,68,0.4824,0.0504
REC_00017,Client_097,2025-01-01 00:17:00,IndustrialController,93.53,-57.5,4.767,89.26,0.9194,4.48,74,0.3451,0.4456
REC_00018,Client_019,2025-01-01 00:18:00,IndustrialController,31.43,-71.4,3.055,24.67,0.7734,2.3,83,0.9463,0.4156
REC_00019,Client_065,2025-01-01 00:19:00,AutonomousVehicle,48.15,-78.9,2.398,25.27,0.7515,2.02,71,0.0459,0.192
REC_00020,Client_027,2025-01-01 00:20:00,Wearable,11.32,-57.8,1.343,11.4,0.7223,1.29,77,0.2556,0.36
REC_00021,Client_066,2025-01-01 00:21:00,SmartSensor,89.14,-59.8,2.406,18.3,0.7982,4.09,84,0.2599,0.503
REC_00022,Client_073,2025-01-01 00:22:00,Wearable,23.91,-65.7,8.086,19.57,0.7167,4.84,53,0.4234,0.5491
REC_00023,Client_069,2025-01-01 00:23:00,IndustrialController,87.53,-72.8,1.712,8.45,0.8242,1.06,96,0.9233,0.1459
REC_00024,Client_063,2025-01-01 00:24:00,IndustrialController,39.64,-57.1,5.172,18.55,0.9298,2.34,79,0.6526,0.5866
REC_00025,Client_097,2025-01-01 00:25:00,Wearable,43.13,-69.9,5.719,118.9,0.8968,3.87,78,0.1214,0.2567
REC_00026,Client_008,2025-01-01 00:26:00,Wearable,13.52,-61.4,1.251,19.68,0.7102,3.22,77,0.8249,0.1631
REC_00027,Client_033,2025-01-01 00:27:00,Wearable,39.42,-42.4,1.469,16.04,0.7749,4.09,96,0.6298,0.3308
REC_00028,Client_029,2025-01-01 00:28:00,IndustrialController,89.95,-53.5,3.187,24.28,0.7469,0.18,60,0.0162,0.6368
REC_00029,Client_097,2025-01-01 00:29:00,IndustrialController,12.3,-73.7,11.862,161.29,0.7167,4.57,82,0.9186,0.9597
REC_00030,Client_037,2025-01-01 00:30:00,SmartSensor,46.57,-72.7,6.557,72.32,0.7272,0.4,90,0.0474,0.8246
REC_00031,Client_066,2025-01-01 00:31:00,SmartSensor,12.83,-58.5,3.191,11.27,0.927,2.28,90,0.6099,0.8654
REC_00032,Client_069,2025-01-01 00:32:00,IndustrialController,43.38,-73.8,6.714,69.83,0.7775,1.45,85,0.6008,0.2165
REC_00033,Client_021,2025-01-01 00:33:00,Wearable,25.54,-80.0,0.35,72.67,0.7981,4.65,70,0.6088,0.4615
REC_00034,Client_027,2025-01-01 00:34:00,Wearable,32.7,-54.7,2.987,149.92,0.8214,1.45,83,0.8483,0.4465
REC_00035,Client_026,2025-01-01 00:35:00,SmartSensor,88.98,-56.8,0.327,110.86,0.8862,1.93,85,0.1236,0.4604
REC_00036,Client_045,2025-01-01 00:36:00,IndustrialController,49.24,-55.5,3.768,5.0,0.8996,4.45,78,0.5347,0.1997
REC_00037,Client_018,2025-01-01 00:37:00,SmartSensor,34.64,-57.4,5.53,30.31,0.9409,2.73,68,0.5736,0.8434
REC_00038,Client_001,2025-01-01 00:38:00,SmartSensor,63.04,-60.7,2.151,60.7,0.7527,4.5,74,0.3977,0.3317
REC_00039,Client_090,2025-01-01 00:39:00,AutonomousVehicle,22.79,-66.6,2.063,181.28,0.7753,3.34,75,0.5281,0.4743
REC_00040,Client_096,2025-01-01 00:40:00,AutonomousVehicle,33.35,-54.8,3.25,4.45,0.7782,0.49,66,0.5009,0.3626
REC_00041,Client_041,2025-01-01 00:41:00,AutonomousVehicle,59.16,-44.7,2.306,22.96,0.8113,2.23,84,0.759,0.3474
REC_00042,Client_033,2025-01-01 00:42:00,Wearable,31.38,-65.0,2.601,33.89,0.9019,0.96,77,0.1459,0.614
REC_00043,Client_001,2025-01-01 00:43:00,IndustrialController,71.12,-70.2,7.194,26.66,0.7599,0.42,96,0.0296,0.993
REC_00044,Client_069,2025-01-01 00:44:00,IndustrialController,54.23,-71.4,5.736,30.42,0.8957,1.93,65,0.9315,0.8849
REC_00045,Client_087,2025-01-01 00:45:00,IndustrialController,79.48,-68.7,4.368,23.03,0.751,4.55,77,0.3136,0.9278
REC_00046,Client_012,2025-01-01 00:46:00,IndustrialController,95.34,-58.0,0.815,176.38,0.8775,0.68,91,0.7917,0.434
REC_00047,Client_018,2025-01-01 00:47:00,AutonomousVehicle,20.42,-81.4,4.949,81.29,0.8998,0.13,67,0.3197,0.1902
REC_00048,Client_073,2025-01-01 00:48:00,Wearable,40.12,-55.6,3.154,66.72,0.9134,4.68,59,0.0039,0.0135
